             x       y       Lnx         yLnx    (Ln x)²        SQREG        SQTOT
204  1975.2083  331.94  7.588429  2518.903169  57.584257   635.549797   686.970795
205  1975.2917  333.11  7.588471  2527.795696  57.584898   628.699547   627.007996
206  1975.3750  333.95  7.588514  2534.184094  57.585538   621.894848   585.646181
207  1975.4583  333.42  7.588556  2530.176242  57.586178   615.127460   611.579217
208  1975.5417  331.97  7.588598  2519.186851  57.586818   608.389321   685.399087
209  1975.6250  329.95  7.588640  2503.871795  57.587458   601.696584   795.247203
210  1975.7083  328.50  7.588682  2492.882118  57.588098   595.041144   879.130073
211  1975.7917  328.36  7.588724  2491.833563  57.588739   588.415073   887.451709
212  1975.8750  329.38  7.588767  2499.587948  57.589379   581.834256   827.720249
213  1975.9583  330.78  7.588809  2510.226167  57.590019   575.290721   749.123891
214  1976.0417  331.56  7.588851  2516.159431  57.590659   568.776675   707.034892
215  1976.1250  332.74  7.588893  2525.128302  57.591299   562.307735   645.674590
216  1976.2083  333.36  7.588935  2529.847468  57.591939   555.876063   614.550432
217  1976.2917  334.74  7.588977  2540.334325  57.592579   549.474000   548.034080
218  1976.3750  334.72  7.589020  2540.196653  57.593219   543.116895   548.970885
219  1976.4583  333.98  7.589062  2534.594855  57.593859   536.797044   584.195074
220  1976.5417  333.08  7.589104  2527.778754  57.594499   530.506922   628.511304
221  1976.6250  330.68  7.589146  2509.578840  57.595139   524.261609   754.607917
222  1976.7083  328.96  7.589188  2496.539372  57.595779   518.053536   852.063556
223  1976.7917  328.72  7.589230  2494.731835  57.596419   511.875313   866.132417
224  1976.8750  330.16  7.589273  2505.674240  57.597059   505.741750   783.447249
225  1976.9583  331.62  7.589315  2516.768551  57.597698   499.645413   703.847677
226  1977.0417  332.68  7.589357  2524.827259  57.598338   493.579046   648.727406
227  1977.1250  333.17  7.589399  2528.560081  57.598978   487.557191   624.006781
228  1977.2083  334.96  7.589441  2542.159217  57.599617   481.572548   537.782023
229  1977.2917  336.14  7.589483  2551.128936  57.600258   475.617994   484.445722
230  1977.3750  336.93  7.589525  2557.138822  57.600897   469.707805   450.293820
231  1977.4583  336.17  7.589568  2551.384944  57.601537   463.834813   483.126014
232  1977.5417  334.89  7.589610  2541.684421  57.602177   457.992031   541.033541
233  1977.6250  332.56  7.589652  2524.014639  57.602816   452.193465   654.854636
234  1977.7083  331.29  7.589694  2514.389735  57.603455   446.432082   721.466461
235  1977.7917  331.28  7.589736  2514.327808  57.604096   440.701029   722.003763
236  1977.8750  332.46  7.589778  2523.297699  57.604735   435.014044   659.982662
237  1977.9583  333.60  7.589820  2531.964095  57.605374   429.364229   602.708771
238  1978.0417  334.94  7.589863  2542.148577  57.606014   423.744862   538.710028
239  1978.1250  335.26  7.589905  2544.591452  57.606653   418.169416   523.957947
240  1978.2083  336.66  7.589947  2555.231495  57.607293   412.631126   461.825589
241  1978.2917  337.69  7.589989  2563.063376  57.607933   407.123404   418.616826
242  1978.3750  338.02  7.590031  2565.582306  57.608572   401.659455   405.222042
243  1978.4583  338.01  7.590073  2565.520637  57.609211   396.232646   405.624744
244  1978.5417  336.50  7.590115  2554.073811  57.609851   390.836527   468.728030
245  1978.6250  334.42  7.590157  2538.300450  57.610490   385.484032   563.118961
246  1978.7083  332.36  7.590200  2522.678718  57.611129   380.168665   665.130688
247  1978.7917  332.45  7.590242  2523.375848  57.611769   374.884105   660.496565
248  1978.8750  333.76  7.590284  2533.333115  57.612408   369.643023   594.878330
249  1978.9583  334.91  7.590326  2542.076039  57.613047   364.439054   540.103536
250  1979.0417  336.14  7.590368  2551.426305  57.613687   359.266012   484.445722
251  1979.1250  336.69  7.590410  2555.615179  57.614326   354.136300   460.537081
252  1979.2083  338.27  7.590452  2567.622264  57.614965   349.043687   395.219478
253  1979.2917  338.82  7.590494  2571.811290  57.615604   343.982121   373.653837
254  1979.3750  339.24  7.590536  2575.013574  57.616243   338.963737   357.592930
255  1979.4583  339.26  7.590579  2575.179662  57.616882   333.982438   356.836925
256  1979.5417  337.54  7.590621  2562.138088  57.617522   329.032306   424.777364
257  1979.6250  335.72  7.590663  2548.337286  57.618160   324.125208   503.110629
258  1979.7083  333.97  7.590705  2535.067679  57.618799   319.255181   584.678576
259  1979.7917  334.24  7.590747  2537.131249  57.619439   314.416440   571.694207
260  1979.8750  335.32  7.590789  2545.343364  57.620077   309.620586   521.214731
261  1979.9583  336.81  7.590831  2556.667810  57.620716   304.861789   455.401051
262  1980.0417  337.90  7.590873  2564.956049  57.621356   300.134398   410.067672
263  1980.1250  338.34  7.590915  2568.310267  57.621994   295.449745   392.441160
264  1980.2083  340.07  7.590957  2581.456856  57.622633   290.802136   326.891018
265  1980.2917  340.93  7.590999  2587.999438  57.623272   286.186053   296.532798
266  1980.3750  341.45  7.591041  2591.961120  57.623911   281.612560   278.894266
267  1980.4583  341.36  7.591084  2591.292285  57.624550   277.076096   281.908389
268  1980.5417  339.45  7.591126  2576.807609  57.625189   272.571278   349.694777
269  1980.6250  337.67  7.591168  2563.309608  57.625828   268.108903   419.435631
270  1980.7083  336.25  7.591210  2552.544291  57.626466   263.683543   479.615594
271  1980.7917  336.14  7.591252  2551.723411  57.627105   259.289948   484.445722
272  1980.8750  337.30  7.591294  2560.543448  57.627744   254.938649   434.727826
273  1980.9583  338.29  7.591336  2568.073054  57.628382   250.624351   394.424673
274  1981.0417  339.29  7.591378  2575.678674  57.629021   246.341937   355.704417
275  1981.1250  340.55  7.591420  2585.258130  57.629660   242.101672   309.764496
276  1981.2083  341.63  7.591462  2593.471228  57.630298   237.898394   272.914620
277  1981.2917  342.60  7.591504  2600.849368  57.630937   233.727119   241.806472
278  1981.3750  343.04  7.591546  2604.204052  57.631576   229.597845   228.315960
279  1981.4583  342.54  7.591588  2600.422679  57.632214   225.505545   243.676087
280  1981.5417  340.82  7.591630  2587.379492  57.632853   221.445367   300.333327
281  1981.6250  338.48  7.591672  2569.629306  57.633491   217.427044   386.913924
282  1981.7083  336.95  7.591715  2558.028211  57.634129   213.445679   449.445415
283  1981.7917  337.05  7.591757  2558.801567  57.634768   209.496557   445.215390
284  1981.8750  338.57  7.591799  2570.355267  57.635407   205.589141   383.381401
285  1981.9583  339.91  7.591841  2580.542564  57.636045   201.718671   332.702259
286  1982.0417  340.93  7.591883  2588.300587  57.636684   197.880561   296.532798
287  1982.1250  341.76  7.591925  2594.616213  57.637322   194.084012   268.636286
288  1982.2083  342.78  7.591967  2602.374381  57.637960   190.324394   236.240826
289  1982.2917  343.96  7.592009  2611.347374  57.638599   186.597256   201.359725
290  1982.3750  344.77  7.592051  2617.511389  57.639237   182.911531   179.027818
291  1982.4583  343.88  7.592093  2610.768913  57.639875   179.262723   203.636545
292  1982.5417  342.42  7.592135  2599.698862  57.640514   175.646514   247.436918
293  1982.6250  340.24  7.592177  2583.162304  57.641152   172.071571   320.772675
294  1982.7083  338.38  7.592219  2569.055071  57.641790   168.533532   390.857950
295  1982.7917  338.41  7.592261  2569.297072  57.642428   165.028210   389.672642
296  1982.8750  339.44  7.592303  2577.131361  57.643066   161.564008   350.068879
297  1982.9583  340.78  7.592345  2587.319363  57.643704   158.136695   301.721337
298  1983.0417  341.57  7.592387  2593.331681  57.644343   154.742219   274.900635
299  1983.1250  342.79  7.592429  2602.608793  57.644981   151.388715   235.933523
300  1983.2083  343.37  7.592471  2607.026824  57.645618   148.072087   218.452175
301  1983.2917  345.39  7.592513  2622.378140  57.646257   144.788415   162.820859
302  1983.3750  346.14  7.592555  2628.087063  57.646895   141.545568   144.243168
303  1983.4583  345.76  7.592597  2625.216414  57.647532   138.339583   153.515265
304  1983.5417  344.32  7.592639  2614.297551  57.648171   135.166673   191.272433
305  1983.6250  342.51  7.592681  2600.569258  57.648809   132.034441   244.613595
306  1983.7083  340.46  7.592723  2585.018558  57.649446   128.939057   312.940619
307  1983.7917  340.53  7.592765  2585.564365  57.650085   125.876867   310.468901
308  1983.8750  341.79  7.592807  2595.145601  57.650722   122.855208   267.653779
309  1983.9583  343.20  7.592849  2605.865869  57.651360   119.870384   223.506319
310  1984.0417  344.21  7.592891  2613.549116  57.651998   116.918872   194.327161
311  1984.1250  344.92  7.592933  2618.954550  57.652636   114.007745   175.036279
312  1984.2083  345.68  7.592975  2624.739692  57.653273   111.133438   155.504085
313  1984.2917  347.38  7.593017  2637.662351  57.653912   108.292562   115.995651
314  1984.3750  347.78  7.593059  2640.714157  57.654549   105.491925   107.539549
315  1984.4583  347.16  7.593101  2636.021033  57.655187   102.728094   120.782907
316  1984.5417  345.79  7.593143  2625.633016  57.655825    99.997813   152.772757
317  1984.6250  343.74  7.593185  2610.081501  57.656462    97.307625   207.651781
318  1984.7083  341.59  7.593227  2593.770490  57.657100    94.654228   274.237830
319  1984.7917  341.86  7.593269  2595.835026  57.657738    92.034500   265.368261
320  1984.8750  343.31  7.593311  2606.859675  57.658375    89.454718   220.229391
321  1984.9583  345.00  7.593353  2619.706849  57.659013    86.911713   172.925859
322  1985.0417  345.48  7.593395  2623.366174  57.659651    84.402496   160.532136
323  1985.1250  346.41  7.593437  2630.442568  57.660288    81.933079   137.830599
324  1985.2083  347.91  7.593479  2641.847322  57.660925    79.500426   104.860216
325  1985.2917  348.66  7.593521  2647.557079  57.661563    77.101678    90.062524
326  1985.3750  349.28  7.593563  2652.279717  57.662200    74.742584    78.679166
327  1985.4583  348.65  7.593605  2647.510400  57.662838    72.420240    90.252427
328  1985.5417  346.90  7.593647  2634.236163  57.663476    70.131920   126.565374
329  1985.6250  345.26  7.593689  2621.797066  57.664113    67.883107   166.155392
