             x       y             xy            x²        SQREG        SQTOT
167  1972.1257  327.63  646127.543091  3.889280e+06   916.331267   931.478196
168  1972.2049  327.75  646390.155975  3.889592e+06   908.571486   924.167765
169  1972.2896  329.72  650303.326912  3.889926e+06   900.309345   808.272162
170  1972.3716  330.07  651020.694012  3.890250e+06   892.346531   788.493572
171  1972.4563  329.09  649115.643767  3.890584e+06   884.158662   844.491023
172  1972.5383  328.04  647071.463932  3.890907e+06   876.267753   906.619791
173  1972.6230  326.32  643706.337360  3.891242e+06   868.154157  1013.157030
174  1972.7077  324.84  640814.369268  3.891576e+06   860.078299  1109.564608
175  1972.7896  325.20  641551.177920  3.891899e+06   852.305299  1085.710916
176  1972.8743  326.50  644143.458950  3.892233e+06   844.303669  1001.730584
177  1972.9563  327.55  646241.836065  3.892557e+06   836.593062   936.367816
178  1973.0411  328.55  648242.653405  3.892891e+06   828.656368   876.167561
179  1973.1260  329.56  650263.404560  3.893226e+06   820.748209   817.395403
180  1973.2027  330.30  651748.851810  3.893529e+06   813.636453   775.629614
181  1973.2877  331.50  654144.872550  3.893864e+06   805.791257   710.229307
182  1973.3699  332.48  656106.024352  3.894189e+06   798.240640   658.955457
183  1973.4548  332.07  655325.135436  3.894524e+06   790.479323   680.173062
184  1973.5370  330.87  652984.187190  3.894848e+06   783.000958   744.205368
185  1973.6219  329.31  649933.427889  3.895183e+06   775.314268   831.752967
186  1973.7068  327.51  646408.714068  3.895519e+06   767.665494   938.817426
187  1973.7890  327.18  645784.285020  3.895843e+06   760.296094   959.148811
188  1973.8740  328.16  647746.491840  3.896179e+06   752.713048   899.407760
189  1973.9562  328.64  648720.965568  3.896503e+06   745.415945   870.847638
190  1974.0411  329.35  650150.436285  3.896838e+06   737.916469   829.447356
191  1974.1260  330.71  652863.209460  3.897173e+06   730.454909   752.960609
192  1974.2027  331.48  654408.710996  3.897476e+06   723.746619   711.295712
193  1974.2877  332.65  656746.803405  3.897812e+06   716.348548   650.256513
194  1974.3750  333.19  657842.006250  3.898157e+06   708.789857   623.007975
195  1974.4583  332.20  655915.047260  3.898486e+06   701.614875   673.409128
196  1974.5417  331.07  653711.520619  3.898815e+06   694.467846   733.333317
197  1974.6250  329.15  649947.818750  3.899144e+06   687.365908   841.007407
198  1974.7083  327.33  646381.267839  3.899473e+06   680.300472   949.880272
199  1974.7917  327.28  646309.827576  3.899802e+06   673.263120   952.964785
200  1974.8750  328.31  648371.211250  3.900131e+06   666.270729   890.433222
201  1974.9583  329.58  650906.756514  3.900460e+06   659.314838   816.252198
202  1975.0417  330.73  653205.541441  3.900790e+06   652.387163   751.863404
203  1975.1250  331.46  654674.932500  3.901119e+06   645.504317   712.362917
204  1975.2083  331.94  655650.643102  3.901448e+06   638.657973   686.970795
205  1975.2917  333.11  657989.418187  3.901777e+06   631.839975   627.007996
206  1975.3750  333.95  659676.481250  3.902106e+06   625.066675   585.646181
207  1975.4583  333.42  658657.306386  3.902435e+06   618.329876   611.579217
208  1975.5417  331.97  655820.578149  3.902765e+06   611.621556   685.399087
209  1975.6250  329.95  651857.468750  3.903094e+06   604.957802   795.247203
210  1975.7083  328.50  649020.176550  3.903423e+06   598.330549   879.130073
211  1975.7917  328.36  648770.962612  3.903753e+06   591.731906   887.451709
212  1975.8750  329.38  650813.707500  3.904082e+06   585.177698   827.720249
213  1975.9583  330.78  653607.486474  3.904411e+06   578.659990   749.123891
214  1976.0417  331.56  655176.386052  3.904741e+06   572.171025   707.034892
215  1976.1250  332.74  657535.832500  3.905070e+06   565.726362   645.674590
216  1976.2083  333.36  658788.798888  3.905399e+06   559.318201   614.550432
217  1976.2917  334.74  661543.883658  3.905729e+06   552.938913   548.034080
218  1976.3750  334.72  661532.240000  3.906058e+06   546.603796   548.970885
219  1976.4583  333.98  660097.543034  3.906387e+06   540.305180   584.195074
220  1976.5417  333.08  658346.509436  3.906717e+06   534.035569   628.511304
221  1976.6250  330.68  653630.355000  3.907046e+06   527.809998   754.607917
222  1976.7083  328.96  650257.962368  3.907376e+06   521.620928   852.063556
223  1976.7917  328.72  649810.967624  3.907705e+06   515.460995   866.132417
224  1976.8750  330.16  652685.050000  3.908035e+06   509.344970   783.447249
225  1976.9583  331.62  655598.911446  3.908364e+06   503.265445   703.847677
226  1977.0417  332.68  657722.232756  3.908694e+06   497.215189   648.727406
227  1977.1250  333.17  658718.736250  3.909023e+06   491.208710   624.006781
228  1977.2083  334.96  662285.692168  3.909353e+06   485.238731   537.782023
229  1977.2917  336.14  664646.832038  3.909682e+06   479.298152   484.445722
230  1977.3750  336.93  666236.958750  3.910012e+06   473.401219   450.293820
231  1977.4583  336.17  664762.156711  3.910341e+06   467.540786   483.126014
232  1977.5417  334.89  662258.939913  3.910671e+06   461.709885   541.033541
233  1977.6250  332.56  657678.970000  3.911001e+06   455.922497   654.854636
234  1977.7083  331.29  655194.982707  3.911330e+06   450.171610   721.466461
235  1977.7917  331.28  655202.834376  3.911660e+06   444.450386   722.003763
236  1977.8750  332.46  657564.322500  3.911990e+06   438.772544   659.982662
237  1977.9583  333.60  659846.888880  3.912319e+06   433.131203   602.708771
238  1978.0417  334.94  662525.286998  3.912649e+06   427.519656   538.710028
239  1978.1250  335.26  663186.187500  3.912979e+06   421.951360   523.957947
240  1978.2083  336.66  665983.606278  3.913308e+06   416.419565   461.825589
241  1978.2917  337.69  668049.324173  3.913638e+06   410.917695   418.616826
242  1978.3750  338.02  668730.317500  3.913968e+06   405.458945   405.222042
243  1978.4583  338.01  668738.689983  3.914297e+06   400.036695   405.624744
244  1978.5417  336.50  665779.282050  3.914627e+06   394.644503   468.728030
245  1978.6250  334.42  661691.772500  3.914957e+06   389.295298   563.118961
246  1978.7083  332.36  657643.490588  3.915287e+06   383.982595   665.130688
247  1978.7917  332.45  657849.300665  3.915617e+06   378.700080   660.496565
248  1978.8750  333.76  660469.320000  3.915946e+06   373.460421   594.878330
249  1978.9583  334.91  662772.924253  3.916276e+06   368.257263   540.103536
250  1979.0417  336.14  665235.077038  3.916606e+06   363.084425   484.445722
251  1979.1250  336.69  666351.596250  3.916936e+06   357.954312   460.537081
252  1979.2083  338.27  669506.791641  3.917265e+06   352.860700   395.219478
253  1979.2917  338.82  670623.613794  3.917596e+06   347.797540   373.653837
254  1979.3750  339.24  671483.175000  3.917925e+06   342.776973   357.592930
255  1979.4583  339.26  671551.022858  3.918255e+06   337.792907   356.836925
256  1979.5417  337.54  668174.505418  3.918585e+06   332.839423   424.777364
257  1979.6250  335.72  664599.705000  3.918915e+06   327.928402   503.110629
258  1979.7083  333.97  661163.180951  3.919245e+06   323.053882   584.678576
259  1979.7917  334.24  661725.577808  3.919575e+06   318.210076   571.694207
260  1979.8750  335.32  663891.685000  3.919905e+06   313.408600   521.214731
261  1979.9583  336.81  666869.755023  3.920235e+06   308.643626   455.401051
262  1980.0417  337.90  669056.090430  3.920565e+06   303.909497   410.067672
263  1980.1250  338.34  669955.492500  3.920895e+06   299.217568   392.441160
264  1980.2083  340.07  673409.436581  3.921225e+06   294.562139   326.891018
265  1980.2917  340.93  675140.849281  3.921555e+06   289.937687   296.532798
266  1980.3750  341.45  676199.043750  3.921885e+06   285.355304   278.894266
267  1980.4583  341.36  676049.245288  3.922215e+06   280.809420   281.908389
268  1980.5417  339.45  672294.880065  3.922545e+06   276.294647   349.694777
269  1980.6250  337.67  668797.643750  3.922875e+06   271.821809   419.435631
270  1980.7083  336.25  666013.165875  3.923205e+06   267.385471   479.615594
271  1980.7917  336.14  665823.322038  3.923536e+06   262.980375   484.445722
272  1980.8750  337.30  668149.137500  3.923866e+06   258.617082   434.727826
273  1980.9583  338.29  670138.383307  3.924196e+06   254.290291   394.424673
274  1981.0417  339.29  672147.638393  3.924526e+06   249.994872   355.704417
275  1981.1250  340.55  674672.118750  3.924856e+06   245.741125   309.764496
276  1981.2083  341.63  676840.191529  3.925186e+06   241.523879   272.914620
