             x       y        SQREG        SQTOT
518  2001.3750  374.03   194.854192   252.170344
519  2001.4583  373.40   199.303452   232.558605
520  2001.5417  371.68   203.813611   183.057444
521  2001.6250  369.78   208.374026   135.253929
522  2001.7083  368.34   212.990247   103.833497
523  2001.7917  368.61   217.668091   109.408928
524  2001.8750  369.94   222.396517   139.001089
525  2001.9583  371.42   227.181274   176.089510
526  2002.0417  372.70   232.028384   211.698784
527  2002.1250  373.37   236.926398   231.644512
528  2002.2083  374.30   241.881271   260.818375
529  2002.2917  375.19   246.899230   290.357248
530  2002.3750  375.93   251.968417   316.123859
531  2002.4583  375.69   257.094991   307.647120
532  2002.5417  374.16   262.285388   256.316011
533  2002.6250  372.03   267.527337   192.650855
534  2002.7083  370.92   272.827205   163.069638
535  2002.7917  370.73   278.191635   158.253187
536  2002.8750  372.43   283.607940   203.914753
537  2002.9583  373.98   289.082697   250.584857
538  2003.0417  375.07   294.622760   286.282078
539  2003.1250  375.82   300.215023   312.224387
540  2003.2083  376.64   305.866271   341.875377
541  2003.2917  377.92   311.583573   390.847850
542  2003.3750  378.78   317.353398   425.591631
543  2003.4583  378.46   323.182744   412.490912
544  2003.5417  376.88   329.078897   350.808116
545  2003.6250  374.57   335.027895   269.612206
546  2003.7083  373.34   341.036953   230.732220
547  2003.7917  373.31   347.113572   229.821728
548  2003.8750  374.84   353.243361   278.551837
549  2003.9583  376.17   359.433749   324.715797
550  2004.0417  377.17   365.692457   361.755542
551  2004.1250  378.05   372.004657   396.004917
552  2004.2083  379.06   378.377998   437.222759
553  2004.2917  380.54   384.820423   501.306381
554  2004.3750  380.80   391.316663   513.016715
555  2004.4583  379.87   397.874587   471.752852
556  2004.5417  377.65   404.502361   380.245019
557  2004.6250  376.17   411.184273   324.715797
558  2004.7083  374.43   417.928414   265.034242
559  2004.7917  374.63   424.743176   271.586191
560  2004.8750  376.33   431.612398   330.507756
561  2004.9583  377.68   438.544397   381.415912
562  2005.0417  378.63   445.547791   419.425169
563  2005.1250  379.91   452.605968   473.492042
564  2005.2083  380.95   459.727470   519.834176
565  2005.2917  382.48   466.921144   591.942685
566  2005.3750  382.64   474.169924   599.753845
567  2005.4583  382.40   481.482580   588.056306
568  2005.5417  380.93   488.868191   518.922581
569  2005.6250  378.93   496.309228   431.803092
570  2005.7083  376.89   503.814695   351.182813
571  2005.7917  377.19   511.393902   362.516737
572  2005.8750  378.54   519.028857   415.746892
573  2005.9583  380.31   526.728796   491.059940
574  2006.0417  381.58   534.503265   548.958915
575  2006.1250  382.40   542.333804   588.056306
576  2006.2083  382.86   550.229883   610.577788
577  2006.2917  384.80   558.201284   710.215693
578  2006.3750  385.22   566.229078   732.777986
579  2006.4583  384.24   574.322969   680.681436
580  2006.5417  382.65   582.492980   600.243742
581  2006.6250  380.60   590.719704   503.996766
582  2006.7083  379.04   599.013086   436.386764
583  2006.7917  379.33   607.383388   448.586990
584  2006.8750  380.35   615.810726   492.834330
585  2006.9583  382.02   624.305282   569.770803
586  2007.0417  383.10   632.877563   622.496127
587  2007.1250  384.12   641.507201   674.434267
588  2007.2083  384.81   650.204621   710.748790
589  2007.2917  386.73   658.980574   816.809100
590  2007.3750  386.78   667.814204   819.669587
591  2007.4583  386.33   676.716182   794.105202
592  2007.5417  384.73   685.697506   706.489611
593  2007.6250  382.24   694.736827   580.321947
594  2007.7083  381.20   703.845063   531.296612
595  2007.7917  381.37   713.033461   539.162469
596  2007.8750  382.70   722.280177   602.696229
597  2007.9583  384.19   731.596376   678.074949
598  2008.0417  385.78   740.993558   763.409843
599  2008.1250  386.06   750.449377   778.960971
600  2008.2083  386.28   759.975251   791.289715
601  2008.2917  387.34   769.582931   852.048644
602  2008.3750  388.78   779.249568   938.189076
603  2008.4583  387.99   788.986833   890.417978
604  2008.5417  386.61   798.806731   809.964331
605  2008.6250  384.32   808.685907   684.862215
606  2008.7083  383.41   818.636284   638.061148
607  2008.7917  383.21   828.670127   627.997199
608  2008.8750  384.41   838.763566   689.580892
609  2008.9583  385.79   848.928783   763.962540
610  2009.0417  387.17   859.178301   842.152988
611  2009.1250  387.70   869.487735   873.194952
612  2009.2083  389.04   879.869524   954.184210
613  2009.2917  389.76   890.336454   999.184026
614  2009.3750  390.36   900.863619  1037.475873
615  2009.4583  389.70   911.463718   995.394441
616  2009.5417  388.24   922.149802   905.400414
617  2009.6250  386.29   932.896440   791.852412
618  2009.7083  384.95   943.716593   718.233155
