             x       y      Ln y          xLny            x²         SQREG         SQTOT
177  1972.9563  327.55  5.791641  11426.654036  3.892557e+06  6.443602e-03  7.333843e-03
178  1973.0411  328.55  5.794689  11433.159625  3.892891e+06  6.382472e-03  6.821032e-03
179  1973.1260  329.56  5.797758  11439.707903  3.893226e+06  6.321562e-03  6.323453e-03
180  1973.2027  330.30  5.800001  11444.578289  3.893529e+06  6.266786e-03  5.971772e-03
181  1973.2877  331.50  5.803628  11452.227372  3.893864e+06  6.206361e-03  5.424435e-03
182  1973.3699  332.48  5.806580  11458.529618  3.894189e+06  6.148205e-03  4.998330e-03
183  1973.4548  332.07  5.805346  11456.587515  3.894524e+06  6.088425e-03  5.174326e-03
184  1973.5370  330.87  5.801726  11449.920035  3.894848e+06  6.030826e-03  5.708260e-03
185  1973.6219  329.31  5.797000  11441.085279  3.895183e+06  5.971621e-03  6.444721e-03
186  1973.7068  327.51  5.791519  11430.759621  3.895519e+06  5.912709e-03  7.354775e-03
187  1973.7890  327.18  5.790510  11429.245886  3.895843e+06  5.855948e-03  7.528703e-03
188  1973.8740  328.16  5.793501  11435.641574  3.896179e+06  5.797542e-03  7.018633e-03
189  1973.9562  328.64  5.794963  11439.002998  3.896503e+06  5.741339e-03  6.775866e-03
190  1974.0411  329.35  5.797121  11443.755145  3.896838e+06  5.683576e-03  6.425234e-03
191  1974.1260  330.71  5.801242  11452.382385  3.897173e+06  5.626106e-03  5.781582e-03
192  1974.2027  331.48  5.803567  11457.418581  3.897476e+06  5.574437e-03  5.433326e-03
193  1974.2877  332.65  5.807091  11464.868109  3.897812e+06  5.517456e-03  4.926312e-03
194  1974.3750  333.19  5.808713  11468.577528  3.898157e+06  5.459237e-03  4.701252e-03
195  1974.4583  332.20  5.805737  11463.185997  3.898486e+06  5.403974e-03  5.118169e-03
196  1974.5417  331.07  5.802330  11456.942213  3.898815e+06  5.348926e-03  5.617314e-03
197  1974.6250  329.15  5.796514  11445.940616  3.899144e+06  5.294226e-03  6.522985e-03
198  1974.7083  327.33  5.790969  11435.474226  3.899473e+06  5.239807e-03  7.449371e-03
199  1974.7917  327.28  5.790816  11435.655518  3.899802e+06  5.185603e-03  7.475764e-03
200  1974.8750  328.31  5.793958  11442.343366  3.900131e+06  5.131747e-03  6.942271e-03
201  1974.9583  329.58  5.797819  11450.450986  3.900460e+06  5.078171e-03  6.313806e-03
202  1975.0417  330.73  5.801302  11457.814021  3.900790e+06  5.024813e-03  5.772389e-03
203  1975.1250  331.46  5.803507  11462.652037  3.901119e+06  4.971800e-03  5.442225e-03
204  1975.2083  331.94  5.804954  11465.993776  3.901448e+06  4.919068e-03  5.230811e-03
205  1975.2917  333.11  5.808473  11473.428044  3.901777e+06  4.866554e-03  4.734239e-03
206  1975.3750  333.95  5.810991  11478.886902  3.902106e+06  4.814385e-03  4.394005e-03
207  1975.4583  333.42  5.809403  11476.233289  3.902435e+06  4.762497e-03  4.607100e-03
208  1975.5417  331.97  5.805045  11468.107684  3.902765e+06  4.710828e-03  5.217747e-03
209  1975.6250  329.95  5.798941  11456.533066  3.903094e+06  4.659503e-03  6.136756e-03
210  1975.7083  328.50  5.794537  11448.314525  3.903423e+06  4.608458e-03  6.846195e-03
211  1975.7917  328.36  5.794111  11447.955568  3.903753e+06  4.557634e-03  6.916917e-03
212  1975.8750  329.38  5.797212  11454.566457  3.904082e+06  4.507152e-03  6.410641e-03
213  1975.9583  330.78  5.801454  11463.430199  3.904411e+06  4.456952e-03  5.749442e-03
214  1976.0417  331.56  5.803809  11468.568185  3.904741e+06  4.406973e-03  5.397810e-03
215  1976.1250  332.74  5.807361  11476.072055  3.905070e+06  4.357334e-03  4.888411e-03
216  1976.2083  333.36  5.809223  11480.234684  3.905399e+06  4.307978e-03  4.631563e-03
217  1976.2917  334.74  5.813354  11488.883479  3.905729e+06  4.258843e-03  4.086337e-03
218  1976.3750  334.72  5.813294  11489.249644  3.906058e+06  4.210049e-03  4.093980e-03
219  1976.4583  333.98  5.811081  11485.359494  3.906387e+06  4.161536e-03  4.382104e-03
220  1976.5417  333.08  5.808383  11480.510619  3.906717e+06  4.113246e-03  4.746641e-03
221  1976.6250  330.68  5.801151  11466.700373  3.907046e+06  4.065295e-03  5.795386e-03
222  1976.7083  328.96  5.795936  11456.875119  3.907376e+06  4.017626e-03  6.616588e-03
223  1976.7917  328.72  5.795206  11455.915762  3.907705e+06  3.970181e-03  6.735854e-03
224  1976.8750  330.16  5.799577  11465.039544  3.908035e+06  3.923074e-03  6.037475e-03
225  1976.9583  331.62  5.803990  11474.245680  3.908364e+06  3.876248e-03  5.371254e-03
226  1977.0417  332.68  5.807181  11481.039129  3.908694e+06  3.829648e-03  4.913661e-03
227  1977.1250  333.17  5.808653  11484.432806  3.909023e+06  3.783385e-03  4.709487e-03
228  1977.2083  334.96  5.814011  11495.511046  3.909353e+06  3.737403e-03  4.002771e-03
229  1977.2917  336.14  5.817528  11502.949315  3.909682e+06  3.691648e-03  3.570162e-03
230  1977.3750  336.93  5.819875  11508.075711  3.910012e+06  3.646228e-03  3.295148e-03
231  1977.4583  336.17  5.817617  11504.094992  3.910341e+06  3.601090e-03  3.559505e-03
232  1977.5417  334.89  5.813802  11497.036127  3.910671e+06  3.556179e-03  4.029260e-03
233  1977.6250  332.56  5.806820  11483.712986  3.911001e+06  3.511604e-03  4.964369e-03
234  1977.7083  331.29  5.802994  11476.629645  3.911330e+06  3.467309e-03  5.518180e-03
235  1977.7917  331.28  5.802964  11477.053914  3.911660e+06  3.423243e-03  5.522665e-03
236  1977.8750  332.46  5.806520  11484.569859  3.911990e+06  3.379511e-03  5.006839e-03
237  1977.9583  333.60  5.809943  11491.824328  3.912319e+06  3.336061e-03  4.534124e-03
238  1978.0417  334.94  5.813951  11500.238333  3.912649e+06  3.292840e-03  4.010330e-03
239  1978.1250  335.26  5.814906  11502.611624  3.912979e+06  3.249951e-03  3.890294e-03
240  1978.2083  336.66  5.819074  11511.339534  3.913308e+06  3.207344e-03  3.387829e-03
241  1978.2917  337.69  5.822128  11517.868122  3.913638e+06  3.164968e-03  3.041551e-03
242  1978.3750  338.02  5.823105  11520.285484  3.913968e+06  3.122924e-03  2.934769e-03
243  1978.4583  338.01  5.823075  11520.712017  3.914297e+06  3.081160e-03  2.937975e-03
244  1978.5417  336.50  5.818598  11512.339074  3.914627e+06  3.039629e-03  3.443392e-03
245  1978.6250  334.42  5.812398  11500.555375  3.914957e+06  2.998428e-03  4.209530e-03
246  1978.7083  332.36  5.806219  11488.813170  3.915287e+06  2.957509e-03  5.049503e-03
247  1978.7917  332.45  5.806489  11489.833175  3.915617e+06  2.916822e-03  5.011097e-03
248  1978.8750  333.76  5.810422  11498.099175  3.915946e+06  2.876465e-03  4.469779e-03
249  1978.9583  334.91  5.813862  11505.390141  3.916276e+06  2.836389e-03  4.021682e-03
250  1979.0417  336.14  5.817528  11513.129988  3.916606e+06  2.796547e-03  3.570162e-03
251  1979.1250  336.69  5.819163  11516.850232  3.916936e+06  2.757034e-03  3.377464e-03
252  1979.2083  338.27  5.823844  11526.601161  3.917265e+06  2.717802e-03  2.855212e-03
253  1979.2917  338.82  5.825469  11530.302426  3.917596e+06  2.678804e-03  2.684233e-03
254  1979.3750  339.24  5.826708  11533.239794  3.917925e+06  2.640135e-03  2.557401e-03
255  1979.4583  339.26  5.826767  11533.841855  3.918255e+06  2.601747e-03  2.551442e-03
256  1979.5417  337.54  5.821684  11524.266285  3.918585e+06  2.563594e-03  3.090754e-03
257  1979.6250  335.72  5.816277  11514.048305  3.918915e+06  2.525768e-03  3.721134e-03
258  1979.7083  333.97  5.811051  11504.186230  3.919245e+06  2.488224e-03  4.386069e-03
259  1979.7917  334.24  5.811859  11506.270799  3.919575e+06  2.450916e-03  4.279682e-03
260  1979.8750  335.32  5.815085  11513.142008  3.919905e+06  2.413934e-03  3.868004e-03
261  1979.9583  336.81  5.819519  11522.404893  3.920235e+06  2.377233e-03  3.336172e-03
262  1980.0417  337.90  5.822750  11529.287796  3.920565e+06  2.340770e-03  2.973366e-03
263  1980.1250  338.34  5.824051  11532.349594  3.920895e+06  2.304632e-03  2.833142e-03
264  1980.2083  340.07  5.829151  11542.934140  3.921225e+06  2.268775e-03  2.316217e-03
265  1980.2917  340.93  5.831677  11548.421912  3.921555e+06  2.233156e-03  2.079487e-03
266  1980.3750  341.45  5.833201  11551.925936  3.921885e+06  2.197862e-03  1.942810e-03
267  1980.4583  341.36  5.832938  11551.889760  3.922215e+06  2.162849e-03  1.966119e-03
268  1980.5417  339.45  5.827327  11541.263451  3.922545e+06  2.128075e-03  2.495194e-03
269  1980.6250  337.67  5.822069  11531.335586  3.922875e+06  2.093624e-03  3.048088e-03
270  1980.7083  336.25  5.817855  11523.473550  3.923205e+06  2.059455e-03  3.531169e-03
271  1980.7917  336.14  5.817528  11523.310662  3.923536e+06  2.025526e-03  3.570162e-03
272  1980.8750  337.30  5.820973  11530.619380  3.923866e+06  1.991919e-03  3.170347e-03
273  1980.9583  338.29  5.823904  11536.910008  3.924196e+06  1.958593e-03  2.848897e-03
274  1981.0417  339.29  5.826855  11543.243129  3.924526e+06  1.925509e-03  2.542517e-03
275  1981.1250  340.55  5.830562  11551.072058  3.924856e+06  1.892746e-03  2.182442e-03
276  1981.2083  341.63  5.833728  11557.830888  3.925186e+06  1.860264e-03  1.896628e-03
277  1981.2917  342.60  5.836564  11563.934989  3.925517e+06  1.828024e-03  1.657710e-03
278  1981.3750  343.04  5.837847  11566.964215  3.925847e+06  1.796105e-03  1.554845e-03
279  1981.4583  342.54  5.836388  11564.560315  3.926177e+06  1.764467e-03  1.672003e-03
280  1981.5417  340.82  5.831354  11555.072067  3.926508e+06  1.733072e-03  2.109023e-03
